INFO  - 2013-06-26 16:31:25.794; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-06-26 16:31:25.795; org.apache.solr.core.CoreContainer; registering core: pds
INFO  - 2013-06-26 16:31:25.795; org.apache.solr.core.SolrCore; [pds] Registered new searcher Searcher@3bd48043 main{StandardDirectoryReader(segments_2:3 _0(4.3):C59/1)}
INFO  - 2013-06-26 16:31:25.797; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-ui/search-ui-1.2.1
INFO  - 2013-06-26 16:31:25.797; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-06-26 16:31:26.635; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1448425944
INFO  - 2013-06-26 16:31:26.646; org.apache.solr.core.SolrCore; [experimental]  CLOSING SolrCore org.apache.solr.core.SolrCore@9826ac5
INFO  - 2013-06-26 16:31:26.647; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-06-26 16:31:26.647; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-06-26 16:31:26.647; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-06-26 16:31:26.648; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-06-26 16:31:26.650; org.apache.solr.core.SolrCore; [experimental] Closing main searcher on request.
INFO  - 2013-06-26 16:31:26.651; org.apache.solr.core.CachingDirectoryFactory; Closing StandardDirectoryFactory - 2 directories currently being tracked
